Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING,Location
1935,-2.66,1.14,2.42,6.55,10.16,16.89,18.09,15.48,13.58,8.04,4.44,-0.9,7.77,6.37,liestal
1936,3.34,0.58,5.29,6.6,12.17,14.52,15.62,15.78,13,5.04,3.48,0.85,8.02,8.02,liestal
1937,0.78,2.83,2.57,7.18,13.48,15.91,17.26,16.46,12.32,8.43,2.84,-1.17,8.24,7.74,liestal
1938,0.33,-0.6,6.12,4.7,10.17,16.17,16.1,15.93,13.36,8.07,5.56,-1.99,7.83,7,liestal
1939,1.2,0.61,0.94,8.54,8.75,15.07,15.6,16.24,12.06,7.06,5.41,-1.28,7.52,6.08,liestal
1940,-5.76,-0.22,3.62,7.62,11.51,14.63,15.37,14.84,13.01,7.63,4.37,-4.49,6.84,7.59,liestal
1941,-3.44,0.49,4.11,5.81,8.25,15.51,17.98,14.88,12.05,7.09,2.56,-0.5,7.07,6.06,liestal
1942,-5.48,-4.22,4.32,7.79,11.94,15.36,16.58,16.65,14.91,10.66,1.75,0.57,7.57,8.01,liestal
1943,-0.36,1.54,5.55,8.94,12.88,14.15,17.21,18.18,13.85,10.13,2.33,0.26,8.72,9.13,liestal
1944,0.77,-2.58,0.84,9.27,11.89,14.04,16.7,19.62,12.42,7.17,3.2,-1.06,7.69,7.33,liestal
1945,-5.88,2.96,5.28,9.36,13.97,17.36,18.4,15.88,13.81,8.24,1.88,0.43,8.47,9.54,liestal
1946,-2.49,2.86,4.77,10.14,12.84,14.19,17.68,15.99,13.55,7.21,3.12,-1.81,8.17,9.25,liestal
1947,-3.6,-2.12,4.48,10.34,13.9,17.3,19.06,19.3,15.68,8.65,5.63,0.81,9.12,9.57,liestal
1948,2.84,0.96,7.07,8.46,13.2,14.43,14.34,16.01,12.82,8.93,3.78,-0.17,8.56,9.58,liestal
1949,-0.23,0.49,1.95,10.62,10.45,15.26,18.82,17.6,16.32,10.32,3.08,2.27,8.91,7.68,liestal
1950,-0.98,2.7,4.66,6.11,13.51,17.72,19.42,16.91,12.78,8.06,4.19,-2.05,8.59,8.1,liestal
1951,0.75,1.51,2.83,7.34,11.04,14.7,17.1,16.07,13.95,7.56,5.49,0.32,8.22,7.07,liestal
1952,-1.39,-1.67,4.78,9.44,12.91,16.69,19.94,17.59,10.32,7.74,2.25,-0.17,8.2,9.04,liestal
1953,-3.32,-1.32,4.47,8.68,13.35,13.95,17.1,16.59,13.97,9.64,2.82,1.8,8.14,8.83,liestal
1954,-2.84,-1.65,4.98,5.7,10.94,15.41,14.86,14.95,13.5,8.68,4.56,2.22,7.61,7.21,liestal
1955,0.1,0.07,1.61,7.78,10.92,14.89,16.52,15.64,12.52,7.05,2.32,3.18,7.72,6.77,liestal
1956,1.25,-9.22,3.52,5.86,12.25,12.75,16.15,14.24,13.99,6.73,1.48,0.36,6.61,7.21,liestal
1957,-1.87,3.51,7.37,7.6,9,15.39,16.7,15.14,12.33,7.93,3.63,-0.03,8.06,7.99,liestal
