year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING,Location
1934,3.94,-4.11,5.11,12.17,19.17,25.11,27.11,23.39,21.44,13.44,9.78,2.94,13.28,12.17,washingtondc
1935,0.72,1.89,10.11,11.06,16.56,23,26.33,24.89,19.44,14.56,10.11,0.06,13.22,12.56,washingtondc
1936,-0.78,-1.33,10.17,11.22,19.67,22.67,25.78,25.5,21.89,15.39,7.22,4.33,13.5,13.67,washingtondc
1937,6.56,2.56,5.61,11.89,18.78,23.94,25.11,25.44,18.83,12.94,8.11,2.78,13.56,12.11,washingtondc
1938,2.06,4.94,9.89,13.94,17.44,22.67,25.78,25.89,19.67,14.89,9.89,3.56,14.22,13.78,washingtondc
1939,3.22,5.72,8,11.89,20,24.11,24.56,26,21.67,14.67,7.78,4.5,14.33,13.28,washingtondc
1940,-3.94,2.83,4.83,10.44,18,23.78,25.28,23,19.33,13.17,9,6,12.67,11.11,washingtondc
1941,1.56,1,4.33,15.89,19.33,22.89,25,24.5,22.67,18,10.22,5.5,14.22,13.17,washingtondc
1942,1.61,1.22,8.56,15,20.61,23.56,26,23.94,21.33,15.72,9.06,1.61,14,14.72,washingtondc
1943,2.33,3.78,7.44,10.67,19.5,26.22,25.83,26.11,19.78,13.56,8.17,2.44,13.83,12.56,washingtondc
1944,3,3.44,6.11,12.11,22,23.78,26.22,24.56,21.39,13.56,8.56,1.33,13.83,13.39,washingtondc
1945,-0.67,3.56,13.44,15.28,17.11,23.61,24.67,23.78,22.67,14.22,9.61,0.5,13.94,15.28,washingtondc
1946,2.67,4,11.67,13.33,18.44,22.44,24.56,22.56,21.11,16.33,11,5.22,14.44,14.5,washingtondc
1947,5.39,-0.33,4.44,14,18.11,22,24.17,26.11,21,18.06,7.89,2.56,13.61,12.17,washingtondc
1948,-1.78,2.67,8.89,13.28,18.11,23.33,25.56,24.33,20.78,13.44,10.78,4.56,13.67,13.44,washingtondc
1949,5.89,6.56,8.11,12.78,18.89,23.94,27.22,25.33,19.5,17.44,8.94,5.5,15,13.28,washingtondc
1950,8.89,3.72,5.39,11.33,18.06,23.28,24.56,24.22,19.39,16.11,8.83,2,13.83,11.61,washingtondc
1951,4.06,3.67,7.56,13.28,18.28,23,25.94,24.89,21.28,16.72,6.72,4.94,14.22,13.06,washingtondc
1952,4.83,5.06,6.28,13.89,17.89,24.94,26.94,24.56,20.5,12.94,9,3.83,14.22,12.67,washingtondc
1953,4.83,5.89,8.61,13.39,21.17,23.67,26.44,24.61,20.94,15.83,8.94,4.94,14.94,14.39,washingtondc
1954,2.17,6.39,6.94,15.33,17,23.56,26,24,22.94,16.67,7.33,2.83,14.28,13.11,washingtondc
1955,1.89,3.22,8.39,14.56,19.5,21.22,27.83,25.72,21.06,15.33,7.5,0.89,13.94,14.17,washingtondc
1956,1.39,5.06,6.22,12,17.56,22.94,24.22,23.89,19.22,15,7.83,6.78,13.5,11.94,washingtondc
1957,0.5,5.22,7.67,15.11,19.56,24.78,26.22,24.28,22.17,13,9.78,5.22,14.44,14.11,washingtondc
1958,1.33,-0.44,5.22,13.94,18.44,21.83,26.17,24.11,20.61,15.06,9.94,0.5,13.06,12.56,washingtondc
1959,1.61,3.89,7.44,14.72,21,24.44,25.83,26.83,22.89,16.78,8.22,5.56,14.94,14.39,washingtondc
1960,3.44,3.5,2,16.22,17.61,23.39,25,25.83,21.83,14.83,9.17,-0.56,13.5,11.94,washingtondc
1961,-1.22,3.5,8.67,11.11,16.78,22.89,25.89,25.33,23.78,15.5,10.11,2.44,13.72,12.17,washingtondc
1962,1.44,1.44,6.78,13.5,20.39,23.22,24.06,24.89,19.44,15.72,7.17,0.67,13.22,13.56,washingtondc
1963,-0.33,-0.56,9.17,14.33,18.28,23.17,25.33,24.11,19.17,16.22,9.89,-0.5,13.17,13.94,washingtondc
1964,2.39,2.72,8.61,12.28,20.06,24.44,26.17,24.17,21.06,12.83,10.56,4.39,14.17,13.67,washingtondc
1965,0.78,2.67,5.22,11,20.61,22.56,25.67,25.11,22.56,14.17,9.72,5.28,13.78,12.28,washingtondc
1966,0.22,2.33,8.61,11.5,18.33,24.44,27.17,25.94,20.33,13.89,9.72,3.11,13.78,12.83,washingtondc
1967,5,1.11,7.22,14.22,15.56,23.72,25.11,24.56,20,14.39,7.22,4.39,13.56,12.33,washingtondc
1968,-0.33,1.28,9.83,14.44,17.61,23.39,26.61,26.22,22.22,16.28,10,2.56,14.17,13.94,washingtondc
1969,1.22,2.72,6.11,14.83,20.22,25.06,26.39,24.61,21.17,14.89,8.44,2.39,14,13.72,washingtondc
1970,-1.11,2.83,5.5,12.94,20.17,24,26.22,26.11,23.89,16.94,9.61,4.28,14.28,12.89,washingtondc
1971,-0.39,3.94,6.22,12.78,17.61,24.39,25.72,24.83,22.78,18.17,9,7.5,14.39,12.22,washingtondc
1972,3.61,2.5,7.56,12.28,18.11,21.22,25.28,24.39,21.67,13.33,8.22,6.44,13.72,12.67,washingtondc
1973,3.11,2.78,10.61,13.33,17.11,25.06,26.22,26.61,23.5,17.39,10.89,5.5,15.17,13.67,washingtondc
1974,6.06,4,9.56,14.61,18.39,21.94,26.11,25.78,21.22,14.06,10.5,6.17,14.89,14.17,washingtondc
1975,4.94,4.78,7.33,12,20.94,24.67,26.28,26.72,20.28,17.33,12.44,4.72,15.22,13.44,washingtondc
1976,1.06,8.28,10.72,15.5,18.33,25.33,25.78,24.83,21.33,13,6.11,1.94,14.39,14.83,washingtondc
1977,-3.67,3.78,11.5,15.61,20.78,23.5,27.17,26,23.28,15,11,3.39,14.78,15.94,washingtondc
1978,0.28,-0.33,6.89,14.28,18.78,24.83,26,27.39,23.11,15.22,11.22,6.17,14.5,13.33,washingtondc
1979,1.72,-2,10.83,13.33,19.83,22.44,25.89,25.83,22,14.78,12.44,6.5,14.5,14.67,washingtondc
1980,2.89,2.28,7.89,15.61,20.83,23.78,27.94,28.22,25.06,15.5,9.22,4.33,15.28,14.78,washingtondc
1981,0.56,6.5,8.67,16.72,19,25.94,26.78,25,21.67,14.61,10.78,3.61,15,14.78,washingtondc
1982,-2.17,3.5,7.61,12.22,20.56,22.67,26.83,24.11,21.44,15.67,11,7.5,14.28,13.44,washingtondc
1983,3.39,3.72,9.33,11.83,18.28,23.89,27.33,27.22,22.56,15.83,10.17,2.22,14.67,13.17,washingtondc
1984,0.11,6.56,5.44,12.72,18.28,24.94,24.72,25.44,20.17,18.44,7.78,7.56,14.33,12.17,washingtondc
1985,-0.67,3.22,8.72,16.44,20.06,22.39,26.11,24.83,22.17,16.22,12.39,2.44,14.56,15.06,washingtondc
1986,1.89,1.83,8.56,13.44,20.06,24.78,27.28,23.67,21.61,16.17,8.06,4.33,14.33,14,washingtondc
1987,1.5,2.78,8.72,12.67,19.56,24.67,28.11,25.94,22.28,12.44,9.94,5.28,14.5,13.67,washingtondc
